;0;1
Pression au niveau mer;101676.0816324549;1064.6240050307938
Variation de pression en 3 heures;0.4671601842419122;90.82502980133648
Température;285.4886093647657;6.965616708188749
Humidité;74.65241803786806;13.060095837733526
Consommation (MW);53726.713834557864;11927.994966687496
Holiday;0.030019419030650037;0.17064071469526923
A;0.3360793577706152;0.4723664076234742
B;0.3363195932013373;0.4724497057150362
C;0.3363195932013373;0.47244970571503625
Confinement;0.03207143000140137;0.17618982200759098
Prévision J (MW);53411.03691868031;11860.351278614344
Prévision J-1 (MW);53488.21929240656;11871.626384879928
week-end;0.28827250705691576;0.4529585728651532
Prix Elec 1kWh;75.07455095994071;20.60698795305875
Solaire (TW);19.709470511311256;28.13418700722912
Eolien (TW);30.23399609789214;22.591238779073965
Hydraulique (MW);7051.435581870232;2776.4205286849337
Production Residuelle (MW);33502.184454407885;47838.62414960145
Mois;6.390522712258013;3.4664502622873665
Jour;15.744239354567476;8.817541304209692
Heure;11.46892955095994;6.9281331989426755
Minute;22.5;16.77050983124842
